Price,Open,High,Low,Close,Volume,Volatility,Predicted_Close
Ticker,AVGO,AVGO,AVGO,AVGO,AVGO,,
Date,,,,,,,
2024-04-12,133.56809275928578,135.00057714263343,132.04767882530442,132.78367614746094,27823000,2.9528983173290158,134.62032775878907
2024-04-15,135.34537549340854,135.34537549340854,129.02267785052385,129.4860076904297,24370000,6.322697642884691,133.6835758972168
2024-04-16,129.94933777773363,132.0180566754708,129.5166393215267,131.3008270263672,18923000,2.501417353944106,130.79643814086913
2024-04-17,132.68885678380718,133.07315101936467,126.59435691788278,126.71389770507812,24718000,6.4787941014818955,129.2703663635254
2024-04-18,127.24442023543457,127.70380057724029,124.02971507360465,124.37845611572266,24888000,3.674085503635638,125.59909576416015
2024-04-19,124.37844295701348,124.47822106821403,118.30963041251955,119.01599884033203,44797000,6.168590655694473,121.54704010009766
2024-04-22,120.9710973461015,121.83059256513884,118.60403908622727,120.96714782714844,25162000,3.226553478911569,120.05248321533203
2024-04-23,121.33367550745075,124.27076859310226,121.31885727335843,123.41028594970703,22025000,2.9519113197438287,121.58804634094238
2024-04-24,124.86352708600639,127.00929191177869,122.9924046010475,124.16407775878906,20108000,4.016887310731192,124.97137802124024
2024-04-25,125.70819782249215,129.22321711852007,124.18185187300598,127.878662109375,30410000,5.041365245514086,126.52382774353028
2024-04-26,129.41782701407516,133.9454677585252,128.73912786129267,132.78367614746094,24100000,5.206339897232539,130.02862396240235
2024-04-29,132.7846959203957,133.66394636782383,130.96889684543976,132.2452850341797,13372000,2.6950495223840676,131.3102764892578
2024-04-30,131.2830581426482,133.20654958339898,128.33608335665352,128.45660400390625,22113000,4.870466226745464,130.2845027923584
2024-05-01,126.2890930990916,127.67613558161435,122.63575774004418,122.7849349975586,30958000,5.040377841570162,125.14078842163086
2024-05-02,124.11072132158154,124.91785529889891,120.85354386146685,122.36111450195312,29480000,4.0643114374320675,122.73198310852051
2024-05-03,124.37943396395796,126.83738391547492,123.20775339327652,126.26734924316406,24898000,3.629630522198397,124.93668571472168
2024-05-06,127.0685542127349,129.4939056127197,125.9670303394313,129.44847106933594,16287000,3.5268752732883826,127.14528961181641
2024-05-07,130.0540606319206,130.30598568128133,128.10982695304926,128.73716735839844,12413000,2.1961587282320636,128.67519844055175
