Price,Open,High,Low,Close,Volume,Volatility,Predicted_Close
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,
Date,,,,,,,
2024-04-12,157.20840874623565,159.4576498521726,156.39230314278245,156.9794921875,25329200,3.0653467093901554,158.40244583129882
2024-04-15,158.10410543846115,158.48230216405906,153.8544189023788,154.12313842773438,27136500,4.627883261680267,155.38470245361327
2024-04-16,153.45633670421336,154.9093812386726,152.6999432114734,153.6653289794922,20779500,2.2094380271992122,153.65047332763672
2024-04-17,154.8795200598381,156.33257973226392,153.84447529646815,154.73023986816406,21763100,2.4881044357957762,154.40101470947266
2024-04-18,154.6008594858019,156.19325246003623,153.88428416601494,155.26766967773438,19883000,2.308968294021298,154.26185546875
2024-04-19,155.45677241386718,155.6160147529958,151.57533531126506,153.3568115234375,32239100,4.040679441730731,152.95335403442382
2024-04-22,153.5757645889644,156.88992171020138,153.32695413108942,155.53639221191406,26446200,3.5629675791119553,155.5244105529785
2024-04-23,156.21315584791824,158.21358635071638,155.53638354340058,157.5069580078125,21151600,2.6772028073158083,155.9624757385254
2024-04-24,156.74063729958468,158.8107420758396,156.42215263269097,158.37283325195312,22779100,2.3885894431486463,157.01459869384766
2024-04-25,150.60994355919925,155.74539489675468,150.15212564884374,155.25772094726562,57109700,5.593269247910939,153.91376510620117
2024-04-26,173.54030395897186,173.8786977049699,168.84276155222324,171.13182067871094,64665300,5.035936152746672,170.43298263549804
2024-04-29,168.25557809024173,168.74325204452023,164.4239062306873,165.3594207763672,45610000,4.319345813832939,165.98800567626952
2024-04-30,164.8219988264117,167.3001564313842,161.82632640780892,162.00546264648438,33562900,5.473830023575289,164.36925003051758
2024-05-01,163.51823108824746,166.3248050727695,162.31398182603573,163.080322265625,33493200,4.010823246733764,164.15729705810546
2024-05-02,164.0058997837683,165.93667142615246,163.1101881822967,165.8271942138672,24294500,2.826483243855762,164.22863220214845
2024-05-03,166.76269857651153,167.16080437240942,162.27416392931923,166.44422912597656,34662400,4.886640443090187,164.5421029663086
2024-05-06,166.6632166844255,167.33997389285673,165.2400128584101,167.3001708984375,21871300,2.099961034446636,166.21405944824218
2024-05-07,167.69823532661383,170.94271797332505,167.58875812637166,170.43515014648438,28039700,3.353959846953387,169.71907440185547
2024-05-08,168.19586940682248,169.34039143777946,167.93711199783866,168.57406616210938,19569100,1.4032794399408033,168.71876083374025
2024-05-09,168.58401102643612,169.87782842770906,167.37976174414283,169.15130615234375,15346700,2.498066683566236,168.98049362182618
