Price,Open,High,Low,Close,Volume,Volatility,Predicted_Close
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,
Date,,,,,,,
2024-04-12,89.66953167082109,90.1453808587556,87.50124546153059,88.15702819824219,426805000,2.644135397225014,88.72183563232421
2024-04-15,89.06872264461606,90.58322421693445,85.90076523534208,85.97274017333984,443077000,4.682458981592376,88.02461524963378
2024-04-16,86.40460421758179,88.08904823109181,86.03572977127556,87.38628387451172,370453000,2.0533184598162535,86.54599998474121
2024-04-17,88.31097911873327,88.74584141967834,83.92242172115718,84.00740051269531,495400000,4.823419698521164,86.29930160522461
2024-04-18,84.94208621726145,86.16168663370678,82.37492908333081,84.64318084716797,447260000,3.7867575503759667,84.04489486694337
2024-04-19,83.12268637450086,84.29629668319684,75.58116589392048,76.17496490478516,875198000,8.715130789276358,81.16676795959472
2024-04-22,78.07833775408314,80.04669267273574,76.37490279505329,79.49187469482422,596341000,3.671789877682457,77.97797210693359
2024-04-23,80.74246382535908,82.7418068067518,80.23763246823718,82.39591979980469,438559000,2.5041743385146162,81.50939819335937
2024-04-24,83.92242471814481,84.0543851474842,79.15699208262093,79.65083312988281,512208000,4.897393064863266,82.51561302185058
2024-04-25,78.84209462361733,83.29563335625151,78.19730980842563,82.60486602783203,424641000,5.098323547825885,81.71150672912597
2024-04-26,83.79046380504667,88.30198162324554,83.35960564687717,87.7061767578125,551011000,4.942375976368368,85.65689826965333
2024-04-29,87.56622296271497,87.96308807915567,85.23798574736955,87.7281723022461,388971000,2.7251023317861183,86.74240051269531
2024-04-30,87.2113335471447,88.7898171170471,86.27164758783333,86.37361145019531,363709000,2.5181695292137647,86.83740562438965
2024-05-01,85.04905184528752,85.9717451202874,81.22830132116862,83.01371765136719,559863000,4.743443799118779,83.65043365478516
2024-05-02,84.42125626969049,86.20867093085921,83.17266601309362,85.78881072998047,377898000,3.0360049177655952,84.4392041015625
2024-05-03,87.76016278941914,89.25166943381491,87.01140828668458,88.75983428955078,398341000,2.240261147130326,87.77847633361816
2024-05-06,89.36062948973989,92.18970149787158,89.02574047227303,92.10972595214844,376203000,3.163961025598553,91.11571838378906
2024-05-07,91.06806618454974,91.75084041902228,88.98175395384375,90.52424621582031,437342000,2.769086465178532,91.06336395263672
2024-05-08,89.45360566200054,91.16404211729393,89.39062281924463,90.3823013305664,325721000,1.7734192980493049,90.949037399292
