Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.385581970214844,35.250708662549606,26.76800292891584,28.908800170638344,855215656
1,2007-10-08,30.72767448425293,33.480126947172145,30.534519082817503,33.480126947172145,126671715
2,2007-10-09,32.82016372680664,33.10989448558306,29.08584404042665,30.743751950556256,116725709
3,2007-10-10,33.126014709472656,33.80205653887043,32.83628374440998,33.673285523029186,67931378
4,2007-10-11,36.828125,38.630900838195814,32.83626702237896,38.630900838195814,106320954
5,2007-10-12,36.58668518066406,37.95486273117044,35.73358711068223,36.05551124021314,99410791
6,2007-10-15,37.06956481933594,37.56854975169036,36.74764074673619,37.34320115432067,41814972
7,2007-10-16,40.85218048095703,41.49603311559861,36.860322090982606,37.11785965173882,138614496
8,2007-10-17,44.03923416137695,45.06938880023695,34.156159031125945,36.69936107341818,204876259
9,2007-10-18,42.49399948120117,48.11157803502763,40.675128780773825,44.747468687558325,146617799
10,2007-10-19,42.349124908447266,44.07141964355362,40.240519523202614,41.52821586849711,110266491
11,2007-10-22,41.785770416259766,43.08956161430028,40.401493805880655,41.49603952407034,72253405
12,2007-10-23,44.7635612487793,45.165966407860594,42.81591765900058,42.81591765900058,74594921
13,2007-10-24,44.07143783569336,46.19613855575419,43.57245267609197,45.71324786056263,63055170
14,2007-10-25,43.974853515625,45.00501265976489,38.84016099046487,42.574482430001666,34522489
15,2007-10-26,45.29473876953125,46.019068113191636,43.54025039055912,44.74746596332643,62370025
16,2007-10-29,46.21222686767578,47.322867022635045,45.8098216472378,46.0351703172335,43657697
17,2007-10-30,47.24238967895508,48.513987655315326,45.45570774043734,46.83998442699745,79921711
18,2007-10-31,48.2242431640625,49.286595349828254,47.3228574001175,47.48381945556305,44655368
19,2007-11-01,47.14580535888672,49.785585309688344,46.75949897321215,49.41537338602588,50632492
20,2007-11-02,47.998897552490234,48.28863276357732,45.06938708623845,45.43960333009962,32001693
21,2007-11-05,48.98078155517578,50.05922854907698,47.6769858641454,47.966721150847675,38833135
22,2007-11-06,49.624610900878906,52.76337079112563,48.94856943585847,49.8338606869537,81880281
23,2007-11-07,48.900299072265625,51.25034402735297,47.80575764614791,50.54211339463045,33593141
24,2007-11-08,48.06328582763672,49.36708122458195,47.00093790394117,47.644786188938625,27990521
25,2007-11-12,49.222206115722656,50.09140291461179,45.34301816971738,46.614620085430204,35153735
26,2007-11-13,50.397254943847656,51.411315503421065,48.46570935746886,50.05923621278228,43830531
27,2007-11-14,49.7372932434082,51.990762246708975,49.47975130891987,51.28252738483562,36738579
28,2007-11-15,50.57429504394531,51.45958640579601,49.624617109228,50.670870536869735,29242252
29,2007-11-16,50.220176696777344,51.36300559619937,49.640710650825355,50.34894547375265,18895294
30,2007-11-19,52.03905487060547,53.92231215880058,50.976706844636965,51.36301323300003,40716718
31,2007-11-20,51.23423385620117,53.2784528089781,50.60648010098517,51.82979432744132,26342171
32,2007-11-21,47.24238967895508,51.84590401479979,46.099556143569544,51.54007864313785,26814499
33,2007-11-22,45.61664962768555,48.64273927459485,43.6368175386275,46.743383833891286,34096185
34,2007-11-23,48.64274978637695,48.93248062873772,45.906390327885084,48.61055650025344,27664090
35,2007-11-26,49.029075622558594,50.44554147802842,48.64276913454528,50.44554147802842,20159123
36,2007-11-27,47.82183837890625,49.866057371448875,47.32285774988709,49.866057371448875,20573198
37,2007-11-28,47.11360549926758,49.09344236950106,46.79168137290447,48.86809373449672,16435311
38,2007-11-29,45.842018127441406,48.546180523641794,45.24645748648399,48.28864291119467,25530967
39,2007-11-30,47.61258316040039,47.902313956098375,46.03515605815607,46.67900421142924,18437721
40,2007-12-03,48.28863525390625,48.88419580042367,47.82184349319311,48.19205538977128,16851227
41,2007-12-04,47.660884857177734,49.01296812158914,47.30676739589132,48.610562907940036,14008727
42,2007-12-05,49.56022644042969,49.73728731799183,47.64478063564469,47.74135612058759,27725290
43,2007-12-06,48.64274978637695,51.39519933836742,48.01499598928242,50.63867676315426,24104710
44,2007-12-07,48.43349838256836,49.64071393349724,47.56430580572498,48.948577890906485,11742386
45,2007-12-10,48.48179626464844,49.077352514181285,47.854042356943395,48.90029595886766,8330010
46,2007-12-11,48.256446838378906,49.19002608769424,48.01500370322618,48.916389661245915,11685950
47,2007-12-12,48.2242431640625,48.65884158704053,47.3228574001175,47.644781511008595,16342131
48,2007-12-13,47.419429779052734,48.93247474762881,47.24237327621666,48.288626568043234,14620172
49,2007-12-14,46.952640533447266,47.69306859813399,46.71119745360107,47.25847018113583,10991851
50,2007-12-17,44.119712829589844,47.48382169350443,43.45976575133426,47.22627977282832,19355678
51,2007-12-18,43.92655563354492,45.39130859899052,42.55837815530719,43.62072598009463,21607783
52,2007-12-19,43.12173843383789,45.72932420022042,42.75152663710369,45.34301358061762,19526912
53,2007-12-20,42.6871452331543,44.03922819866316,42.49398990002802,43.685110815660835,17105204
54,2007-12-24,43.99094009399414,44.68307602947516,42.976875695042295,43.3309930751227,16711519
55,2007-12-26,45.32693862915039,45.874211514693656,44.23239722444028,44.23239722444028,20930094
56,2007-12-27,45.64885711669922,46.90436046401697,45.26254637919721,46.26051214576419,44565277
57,2007-12-28,46.00296401977539,46.19611934424949,45.06938067921305,45.55226680721087,18354518
58,2007-12-31,46.340999603271484,46.61463604969977,45.777632246780044,46.357098433282836,11982308
59,2008-01-01,47.194087982177734,47.62868643940786,46.14783453932308,46.5824329965532,16687746
60,2008-01-02,46.936546325683594,47.548201257956606,46.244410366364775,47.19408386568007,13437280
61,2008-01-03,48.86809158325195,49.06124692384192,46.08344888607014,46.64681608240534,31815218
62,2008-01-04,48.610557556152344,50.2201782335373,48.28863342067535,49.576329962583316,28011310
63,2008-01-07,48.20813751220703,49.31877281709131,47.693058181096234,48.3047129765016,15858063
64,2008-01-08,46.56633758544922,48.93248081194273,46.00297035849245,48.25643926631952,13282666
65,2008-01-09,45.82590866088867,46.823874318639156,45.71323434420508,46.61462451129842,13113527
66,2008-01-10,44.73138427734375,47.32287706682965,44.42555449834863,46.03518008811676,18023003
67,2008-01-11,45.40739822387695,45.84199656100336,43.620717141551566,45.34301166786773,11629440
68,2008-01-14,46.099544525146484,46.58243070579431,44.76356029862923,45.487889569600966,10264240
69,2008-01-15,44.699180603027344,47.033130835135736,44.328968680864655,46.83997982626895,11558334
70,2008-01-16,43.781700134277344,44.74747273872274,42.671064258991,44.37726078029396,14834065
71,2008-01-17,44.95671081542969,45.95467635485359,43.00906747618508,43.94264645188814,16169395
72,2008-01-18,42.86421585083008,44.63479880191813,42.493999558865376,44.58650668287853,13254156
73,2008-01-21,35.57262420654297,42.49399282814056,30.9852032857848,42.49399282814056,33202389
74,2008-01-22,31.999269485473633,33.80204566162188,25.41591864182429,32.063653881081514,58755707
75,2008-01-23,35.57262420654297,36.94080172476575,32.51434504816264,32.51434504816264,28425991
76,2008-01-24,35.653106689453125,38.18021202286468,33.96300498044468,37.488076005783945,29911930
77,2008-01-25,37.488075256347656,37.66513178053493,35.97503010531385,37.34320765192139,12550722
78,2008-01-28,37.89048385620117,38.18021472497536,33.96300738409289,36.972999133103045,13601109
79,2008-01-29,37.262733459472656,38.53433574745335,36.69936613099093,37.98706288180631,7679877
80,2008-01-30,35.20241165161133,37.50416820518528,34.73561993737856,37.34320614736367,9016102
81,2008-01-31,32.900657653808594,35.669206320392696,32.51434909603098,35.572628635151304,41538563
82,2008-02-01,34.043487548828125,34.28493066099888,33.15819613753535,33.464023642980735,9089201
83,2008-02-04,35.797969818115234,36.2164716034812,34.68733206005035,34.68733206005035,12009385
84,2008-02-05,36.90861129760742,37.39149751790569,35.089740741092406,35.8623578202945,14593303
85,2008-02-06,36.58668518066406,37.02128362880588,34.5424682680554,35.894549175447686,12429218
